indicator	ISO Country code	population	surface area (Km2)	GINI index	happy planet index	happy planet index	human development index	human development index	sustainable economic development assessment (SEDA)	GDP growth (annual %)		GDP ($ USD billions PPP)				GDP per capita in $ (PPP)				Economic Growth		health expenditure % of GDP									health expenditure per person			infant mortality	maternal mortality per 100,000 live births		education expenditure % of GDP	education expenditure % of GDP	education expenditure % of GDP	Education as % of GDP		% of primary school aged kids out of school		unemployment (%)		% of population in extreme poverty	% of population with access to electricity	political rights score		civil liberties score		political stability & absence of violence		government effectiveness		regulatory quality		rule of law		control of corruption		judicial effectiveness score		government integrity score		overall economic freedom score		financial freedom score		government expenditure (% of GDP)	CO2e emissions per capita	share of electricity from renewables generation		% of seats held by women in national parliaments			Military Spending as % of GDP	
Egypt	EGY	98,000,000	995,450	31.8	23.8	43.2	0.696	0.731	43.1	4.2	3.33	1,118.70	1,180.90	1,223.00	1,263.70	11638	12260	12606	13316	5.31	3.33	4.25	3.93	4.05			2.61	2.48		2.48	495	125.5	149.8	3.1	37		-		2.48		2.48	0.65		12	9.33		100	10	6	16	12	-1.42	-1.02	-0.6	-0.4	-0.9	-0.5	-0.53	-0.245	-0.54	-0.68	52.5	22.1	32.2	28.7	53.4	49.1	50	50	34.1	2.48	8.70%	9.60%	14.9	15	28	1.30%	1.20%
El Salvador	SLV	6,000,000	20,721	36	35.6	56.3	0.674	0.675	47.2	2.4	10.8	55.3	56.6	51.8	57.4	8822	9147	8420	9669	2.43	10.8	3.82	3.91	3.83	3.73	3.61	3.39			3.39	578	288.5	300.1	1.6	46		3.4	3.61	3.39	3.61	3.39			6.3	5.94	0.3	100	34	26	36	33	-0.25	-0.21	-0.4	-0.3	-0.2	-0.3	-0.86	-0.848	-0.51	-0.53	35.4	46.8	25.2	36.1	63.2	59.6	60	60	21.3	1.21	58.40%	71.20%	32.1	31	27	1.37%	1.20%
Equatorial Guinea	GNQ	800,000	28,051	-	-	-	0.591	0.596	-	-12.2	-0.95	26.7	25.2	24.2	23.9	20873	19385	18158	18127	-6.24	-0.95										790	310.6	254.9	3.6	301		-				-			7.3	9.24		66.7	1	0	6	5	-0.15	-0.29	-1.4	-1.2	-1.4	-1.7	-1.49	-1.197	-1.83	-1.57	17.6	6.9	26.2	6.5	42	47.2	30	30	36.1	3.95	45.90%	10.60%	24	20	23	1.31%	1.10%
Eritrea	ERI	5,000,000	101,000	-	-	-	0.44	0.492	-	4.8		0	0	0	0																56	24	25.3	2.7	480		-				-	47.35		7.3	8.05		52.2	1	1	2	2	-0.66	-1.01	-1.7	-1.7	-2.2	-2.3	-1.56	-1.572	-1.2	-1.24	13.8	3.9	23.4	11.1	41.7	39.7	20	20	28.5	0.25	1.00%	5.30%	22	22	22	...	
Estonia	EST	1,300,000	42,388	34.8	17.9	34.4	0.871	0.89	70.8	1.1	8.35	46.4	48.3	46.9	50.8	36249	37851	37645	42192	4.13	8.35	4.39	5.14	5.16	4.96	5.26				5	1,887	1552.6	1598.8	35.4	9		-	5.26		5.26	-	2.16		6.9	6.33	0.3	100	38	38	56	56	0.66	0.76	1.1	1.4	1.6	1.6	1.28	1.428	1.24	1.54	83.9	92.3	75.7	83.9	78.8	80	80	70	39.8	7.67	16.50%	44.20%	26.7	27	26	2.16%	2.10%
Eswatini	SWZ	1,100,000	17,204	50.4	15.5	35.3	0.588	0.597	-	1.7	7.43	9.7	9.9	9.8	10.5	8725	9018	8865	9816	2.38	7.43	7.07	5.36	5.41	6.14	5.68	5.65	5.34	5	5	-	298.1	264.1		437		-	5.68	5	5.68	5	16.35		25.3	25.76		79.7	1	1	15	16	-0.3	-0.03	-0.6	-0.7	-0.6	-0.6	-0.29	-0.561	-0.3	-0.65	35.3	36.9	26.9	32.1	55.9	51.4	40	40	34.1	0.84	53.60%	54.60%	6.2	7	10	1.70%	1.80%
Ethiopia	ETH	105,000,000	1,000,000	33	26.7	41.7	0.463	0.498	32.3	10.2	5.64	229.8	249	264.1	278.9	2154	2315	2423	2600	6.82	5.64	4.6	4.74	5.06	5.65	5.07				5.07	66	24.3	26.7	3.2	401		-	5.07		5.07	5.07		12.79	5.7	3.69		51.1	4	12	8	11	-1.69	-2.07	-0.7	-0.6	-1	-0.9	-0.45	-0.606	-0.56	-0.4	37.6	20.5	37.7	33.2	52.8	49.6	20	20	17.7	0.16	100.00%	100.00%	38.8	39	43	0.53%	0.60%
Fiji	FJI	900,000	18,274	-	-	-	0.741	0.73	49	4.3	-4.08	12.2	12.2	10.3	9.9	14177	14262	12158	12060	3.81	-4.08	4.27	4.81	4.84	4.65	4.84	5.07			5.07	331	216.1	235.7	3.4	34		-	4.84	5.07	4.84	5.07		1.18	7.9	5.24	0.2	100	24	23	35	35	0.79	0.67	0.1	0.6	-0.2	0	-0.25	0.311	0.36	0.47	47.1	43.4	34.8	54.3	62	56.4	50	50	32.6	1.83	46.20%	57.90%	16	20	22	1.65%	1.60%
Finland	FIN	6,000,000	303,815	27.2	31.3	51.3	0.92	0.94	81.3	0.4	3.47	265	268.3	262.1	271.2	49581	50322	50937	55007	1.14	3.47	7.1	7.03	6.85	6.36	6.28				6	3,669	4515.7	4450.3	23	3		7.2	6.28		6.28	-	1.33		9	7.53	0	100	40	40	60	60	1.07	0.98	1.9	2	1.8	1.9	2.03	2.058	2.22	2.27	82.7	97.8	89.8	96.4	74.1	78.3	80	80	57.1	7.37	46.30%	53.20%	42	42	46	2.03%	1.50%
France	FRA	67,000,000	549,970	29.3	30.4	51.8	0.901	0.903	73.9	1.1	6.96	3,038.60	3,094.60	2,851.60	3,050.10	46577	49072	46991	50729	1.87	6.96				5.45	5.41				5	4,542	4657.8	4491.7		8		5.5	5.41		5.41	-	0.01		10	8.06	0	100	38	38	52	51	0.21	0.37	1.4	1.3	1.2	1.2	1.44	1.289	1.26	1.31	72.7	85.5	65.1	75.9	63.9	65.9	70	70	57	4.47	16.80%	23.70%	39	40	40	1.95%	1.90%
Gabon	GAB	1,900,000	257,667	42.2	17.5	39.9	0.702	0.706	40.9	4	1.51	31.2	32.5	31.9	32.4	15096	15577	15105	15598	0.84	1.51	2.67	2.99	2.66	3.33	2.93	2.73	3.18		3.18	481	218.5	215	3.6	252		-	2.93	3.18	2.93	3.18			18.5	22.26		91.6	4	3	19	18	-0.09	-0.09	-0.9	-0.8	-0.8	-0.8	-0.68	-0.696	-0.81	-0.85	27.8	18.6	33.4	24.4	58	55.8	40	40	22.6	2.42	45.00%	58.20%	17.1		16	1.71%	1.60%
Gambia, The	GMB	2,100,000	10,120	50.2	-	-	0.46	0.5	-	4.4	5.63	4.9	5.2	5.2	5.5	2210	2320	2277	2434	7.23	5.63	2.23	2.16	2.02	2.46	2.37	2.79	2.76		2.76	-	35.8	29.7	51.4	597		-	2.37	2.76	2.37	2.76	18.19	13.63	29.7	11.21		62.3	20	21	21	26	-	0.18	-	-0.6	-	-0.9	-	-0.386	-	-0.36	38.8	37.2	36.8	38.1	52.3	58	50	50	29.4	0.25		1.00%	10.3	10	9	0.75%	0.80%
Georgia	GEO	3,700,000	69,700	40.1	31.1	44.3	0.78	0.802	55.4	2.8	10.36	53.1	55.8	52	57.4	14594	15622	14731	16997	4.84	10.36	3	3.16	3.59	3.57	3.52	3.81	3.85		3.85	718	312.7	291.1	33	25		-	3.52	3.85	3.52	3.85	0.79	0.62	11.6	10.66	1.5	100	26	22	38	36	-0.37	-0.42	0.6	0.7	1.1	1.1	0.33	0.171	0.74	0.69	64.2	56.4	61.8	64.4	76.2	71.8	60	70	29.8	2.72	78.90%	75.90%	16	16	19	1.67%	2.00%
Germany	DEU	83,000,000	348,672	27	29.8	52.7	0.936	0.942	79.6	1.5	2.89	4,434.40	4,481.20	4,276.40	4,400.10	55235	55653	54845	57928	1.09	2.89	4.92	4.86	4.84	4.87	4.98				5	5,357	5482	5440.3	47.2	7		4.9	4.98		4.98	-	0.69		4.3	3.54	0	100	39	39	55	55	0.58	0.76	1.7	1.3	1.8	1.6	1.61	1.609	1.84	1.81	78	95.3	75.3	89.4	74.2	76.1	70	70	44.2	7.91	31.80%	48.60%	37	31	35	1.34%	1.30%
Ghana	GHA	29,000,000	227,533	42.3	21.4	39.5	0.592	0.632	40.2	3.5	5.36	158.2	168.5	169.4	178.5	5442	5774	5750	6178	6.2	5.36	4.4	4.43	4.39	3.53	3.89				3.89	249	76.8	75.3		308		6.2	3.89		3.89	-	3.62	5.98	5.8	4.7		85.9	37	35	46	45	0.09	0.07	-0.1	-0.1	-0.1	-0.2	0.13	-0.081	-0.23	-0.11	43.7	57	32.9	45.4	56	59.8	60	60	26.5	0.66	52.20%	38.50%	12.7	13	15	0.49%	0.40%
Greece	GRC	11,000,000	130,647	36.7	23.6	48.8	0.87	0.887	64.1	-0.2	8.34	312.8	318.4	289.7	313.8	29618	30356	27949	31295	1.67	8.34		3.66		3.48	3.6				4	2,204	1572.7	1500.6	14.5	3		-	3.6		3.6	-	1.43	0.89	23.9	14.8	0.4	100	35	37	50	50	-0.13	0.15	0.3	0.4	0.2	0.4	0.08	0.35	-0.14	0.21	59	69.9	37.9	52.3	57.3	61.5	40	50	51.3	5.6	29.70%	43.60%	18.3	19	22	3.87%	2.60%
Guatemala	GTM	17,000,000	107,159	53	34.2	57.9	0.65	0.627	42.5	4	7.53	138.3	143.7	141.5	152.1	8664	9019	8853	9769	3.32	7.53	2.99	3.03	2.94	2.95	3.14	3.2	3.3		3.3	444	259.6	271		95		2.9	3.14	3.3	3.14	3.3	10.63	10.55	2.4	3.57		97.1	23	21	33	30	-0.57	-0.39	-0.6	-0.8	-0.3	-0.3	-1.06	-1.093	-0.74	-1.17	33.1	36.9	27.3	26.5	63.4	63.2	50	50	12.5	1.16	61.70%	75.40%	12.7	13	19	0.44%	0.40%
Guinea	GIN	13,000,000	245,717	39.4	-	38.1	0.459	0.465	28.3	0.1	3.12	31	32.8	34.3	35.4	2559	2675	2754	2879	6.36	3.12	2.42	2.52	2.54	2.32	2.38	1.85	2.2		2.2	57	35.7	43	34.7	576		2.4	2.38	2.2	2.38	2.2		14.46	6.8	6.34	3.1	44.7	17	10	24	24	-0.61	-0.97	-1	-0.9	-0.8	-1	-1.23	-1.131	-1.01	-1	28.2	27.8	26.9	25.6	52.2	54.2	40	40	25.4	0.31	50.00%	63.60%	21.9	22	17	1.48%	2.00%
Guinea-Bissau	GNB	1,700,000	28,120	-	-	-	0.455	0.483	-	4.8	3.8	3.6	3.7	3.6	3.8	1947	2021	1949	2057	1.28	3.8	2.2	2.3	2.3	2.2	2.14	2.95	2.71		2.71	100	61.2	62.6	58.3	667		-	2.14	2.71	2.14	2.71			6.5	6.76	4.7	33.3	16	17	25	26	-0.6	-0.28	-1.8	-1.4	-1.2	-1.3	-1.44	-1.438	-1.56	-1.3	53.5	14	27.3	15.9	56.9	46	30	30	21.9	0.17		2.40%	13.7	14	14	1.78%	1.40%
Guyana	GUY	800,000	196,849	44.6	-	-	0.654	0.714	42.8	3	19.93	9.7	10.2	14.7	17.6	12776	13634	19703	24494	4.44	19.93	4.36	3.9	4.74	4.66	4.45				4.45	336	301.4	325.9	4.1	169		-	4.45		4.45	-			11.4	16.42		92.5	32	30	42	43	-0.04	-0.14	-0.3	-0.2	-0.4	-0.5	-0.29	-0.398	-0.51	-0.17	42.5	47.4	34.8	41.5	58.7	59.5	30	30	31.2	3.64		2.40%	31.9	32	36	0.96%	1.70%
Haiti	HTI	11,000,000	27,560	60.8	28.6	38.2	0.498	0.535	24.2	1	-1.8	35.2	34.6	33.5	32.9	3241	3203	3095	3127	1.67	-1.8	1.75	1.86	1.4	1.5	1.63				1.63	120	63.1	57	3.4	480		-	1.63		1.63	-			13.2	15.73		46.9	17	11	24	22	-0.7	-1.1	-2.1	-2.2	-1.3	-1.3	-1.09	-1.251	-1.24	-1.42	42.5	18.6	24.6	14.3	55.8	50	30	30	21.9	0.29	8.40%	13.60%	2.5	3		0.19%	0.00%
Honduras	HND	9,000,000	111,890	47.1	27.2	57.7	0.617	0.621	41.9	3.6	12.53	54.5	55.9	50.9	57.3	5816	5978	5420	6253	3.84	12.53	7.09	6.41	5.16	4.94	6.06	4.91	6.44		6.44	353	180.9	187.6	45.6	65		-	6.06	6.44	6.06	6.44	15.7		6.3	8.51	4.3	93.2	20	21	26	26	-0.55	-0.61	-0.5	-0.8	-0.4	-0.5	-1.05	-1.072	-0.72	-1.07	34.5	29	28.2	25.4	60.6	59.5	60	60	27.9	1.05	43.60%	57.50%	25.8	21	27	1.61%	1.60%
Hungary	HUN	10,000,000	89,608	28.2	26.4	45.4	0.838	0.846	66.1	2.9	7.1	304.2	318.1	303.9	325.5	62514	62103	58980	65973	5.36	7.1	4.6	4.49	4.61	4.61	4.62				5	1,912	1074	1062.4	17.3	12		4.6	4.62		4.62	-	2.43	2.47	5.2	4.12	0.1	100	28	26	44	43	0.81	0.86	0.5	0.6	0.7	0.5	0.53	0.531	0.09	0.04	57.1	62.2	36.4	44.4	66.7	66.9	70	70	48.5	4.75	11.60%	17.90%	10.1	13	13	1.64%	1.20%
Iceland	ISL	300,000	100,250	28	31.1	48	0.935	0.959	83.7	4	3.7	20	20.5	19.2	19.9	31913	33515	33274	36753	4.89	3.7	7.64	7.46	7.43	7.58	7.56				8	4,116	6565.9	6275	2.9	4		-	7.56		7.56	-	4.44	5.47	3.8	5.4		100	37	37	58	57	1.37	1.37	1.5	1.6	1.4	1.5	1.61	1.755	1.84	1.79	72.6	94.8	77.3	85.3	77	77	70	70	43.1	4.55	100.00%	100.00%	47.6	38	48	...	0.00%
India	IND	1,339,000,000	2,973,193	35.2	29.2	36.4	0.64	0.633	40	7.3	8.95	8,811.10	9,140.50	8,537.60	9,301.50	6670	6972	6525	7334	6.45	8.95		4.11	4.25	4.31	4.36	4.41	4.47		4.47	238	60.3	63.7		145		-	4.36	4.47	4.36	4.47		5.37	3.5	5.98	1.8	99	35	33	42	33	-0.83	-0.62	0.1	0.3	-0.3	-0.1	0	-0.081	-0.24	-0.29	54.3	51.5	47.2	42.4	54.5	53.9	40	40	27.3	1.8	15.10%	21.70%	11.8	12	14	2.66%	2.40%
Indonesia	IDN	264,000,000	1,811,569	36.8	35.7	49.6	0.694	0.705	46.4	4.8	3.69	3,043.90	3,196.70	3,130.60	3,246.20	11643	12311	12072	12904	5.17	3.69	3.29	3.58	3.5	2.67	3	2.84			2.84	369	111.7	120.1	42.6	177		3.3	3	2.84	3	2.84	5.62		5.6	4.41	0.5	96.9	30	30	34	29	-0.51	-0.51	0	0.4	-0.1	0.3	-0.35	-0.225	-0.25	-0.43	45.2	43.2	42.8	39.9	64.2	64.4	60	60	17.6	2.29	11.20%	17.70%	19.8	20	21	0.70%	0.70%
Iran	IRN	81,000,000	1,531,595	44.5	24	43.6	0.798	0.774	48	0	1.76	1,252.50	1,235.70	1,257.50	0	15677	15533	15791		-2.25	1.76	2.8	2.8	3.37	3.79	3.96	3.66	3.59		4	1,262	484.3	470.4	21.3	16		2.8	3.96	3.59	3.96	3.59		0.14	11.3	11.46	0.2	100	7	4	11	10	-0.93	-1.62	-0.2	-0.9	-1.2	-1.6	-0.68	-0.947	-0.81	-1.1	35.3	29.4	32.6	19.8	50.9	42.4	10	10	17.2	7.6	5.40%	9.40%	5.9	6	6	2.30%	2.30%
Iraq	IRQ	38,000,000	437,367	-	26.5	45.3	0.685	0.686	37	2.4	2.78	405.7	428.1	379.6	390.2	10808	11349	9954	10409	2.63	2.78		4.49	4.71							481	239.4	253.3	1.5	79		-				-			16	14.19		100	16	16	15	13	-2.33	-2.4	-1.3	-1.3	-1.2	-1.1	-1.64	-1.732	-1.37	-1.25	11.4	-	23.4	-	-	-	-	-	42.7	4.44	3.90%	2.80%	25.3	25	29	2.28%	3.50%
Ireland	IRL	4,700,000	68,883	31.3	30	51.1	0.938	0.945	80.3	7.8	13.48	407.5	427.6	452.6	513.7	84556	87380	93350	106456	9.03	13.48	4.88	3.76	3.74	3.51	3.39				3	5,335	5484.2	5428.6	11.1	5		-	3.39		3.39	-	0	0.14	8.1	6.63		100	39	39	57	58	1.02	0.86	1.3	1.5	1.6	1.6	1.43	1.53	1.55	1.65	79	93	79	80.7	80.4	82	70	70	31.9	7.25	29.70%	42.40%	22.2	22	23	0.26%	0.30%
Israel	ISR	9,000,000	20,330	42.8	28.8	48.2	0.903	0.919	66.5	2.6	8.19	354.5	367.8	359.9	389.4	39906	40004	39489	43722	3.98	8.19	5.77	5.86	5.86	6.06	6.11				6	2,819	3329.2	3456.4	2.5	3		5.7	6.11		6.11	-	0.31	0.5	5.6	5.05	0.2	100	36	34	43	42	-0.88	-1.06	1.4	1.3	1.3	1.2	1.02	0.942	0.83	0.86	83.1	85	61.2	65.2	72.2	68	70	70	40.1	6.92	2.00%	6.30%	27.5	28	28	5.17%	5.30%
Italy	ITA	61,000,000	294,140	31.9	28.1	50.7	0.88	0.895	69.1	0.8	6.64	2,540.50	2,553.20	2,322.80	2,477.10	43036	44376	41988	45936	0.93	6.64	4.06	4.07	3.82	4.04	4.26				4	3,351	3000.7	2905.5	11.4	2		4.1	4.26		4.26	-	3.15	3.5	11.5	9.83	1	100	36	36	53	54	0.24	0.58	0.5	0.4	0.7	0.5	0.32	0.269	0.19	0.54	60.9	78.6	40.1	57.3	62.5	65.4	50	50	50.3	5.31	40.90%	44.20%	31	36	36	1.52%	1.40%
Jamaica	JAM	2,800,000	10,831	35	36.9	57.9	0.732	0.709	49.7	1.1	4.6	28.6	28.8	25.9	27.1	9967	10190	9241	10026	1.89	4.6	6.02	5.46	5.31	5.26	5.41	5.16	5.62	6.03	6.03	511	319.9	327.4	12.9	80		6	5.41	6.03	5.41	6.03	26.46	33.3	13.3	9.18		100	34	34	43	46	0.25	0.22	0.5	0.4	0.1	0.2	-0.16	-0.168	-0.17	-0.03	56.6	70.6	39.4	49	69.1	67.4	50	50	27.6	2.85	10.80%	11.90%	17.5	17	29	1.41%	1.60%
Japan	JPN	127,000,000	364,485	37.9	28.3	47.1	0.909	0.925	75.2	0.5	1.62	5,293.00	5,280.30	5,042.30	5,124.00	42116	42283	42100	42940	0.58	1.62	3.55		3.15	3.13	3.08				3	4,405	4256.1	4360.5	8.9	5		3.6	3.08		3.08	-			3.1	2.8		100	40	40	56	56	1.12	1.03	1.6	1.4	1.4	1.4	1.57	1.579	1.52	1.57	73.2	95.3	79.2	81.4	72.3	69.9	60	60	39.1	8.54	17.40%	25.80%	9.3	10	10	1.07%	0.90%
Jordan	JOR	10,000,000	88,802	39.7	-	43.9	0.735	0.72	48.7	2.5	2.21	99.8	101.7	100.2	102.4	10253	10496	10354	10952	1.93	2.21	3.8	3.45	3.45	3.23	2.98	2.99			2.99	568	335.2	334	1.8	46		-	2.98	2.99	2.98	-	19.02	20.08	13.2	19.25		99.9	12	11	25	22	-0.53	-0.28	0.1	0.2	0.1	0.2	0.26	0.213	0.26	0.05	57.3	42.6	51.9	49.5	64.9	60.1	60	60	32	2.44	1.00%	15.50%	15.4	15	12	5.02%	4.70%
Kazakhstan	KAZ	18,000,000	2,699,700	26.3	19.1	38.6	0.8	0.811	57.7	1.2	4	466.9	487.9	475.7	494.7	26155	27464	26750	28600	4.1	4	3.42	2.79	2.98	2.75	2.62	2.86			2.86	903	275.9	273	31.2	10		-	2.62	2.86	2.62	-	0.99	9.61	5.2	4.9	0	100	5	5	17	18	0.02	-0.25	0	0.1	0.2	0.1	-0.41	-0.487	-0.82	-0.24	58.1	34.5	44.6	37.9	69.1	64.4	50	50	22.2	11.46	9.30%	11.10%	27.1	27	27	0.87%	1.10%
Kenya	KEN	50,000,000	569,140	48.5	24.2	45.2	0.59	0.575	35.4	5.6	7.52	223	234.4	233.9	251.4	4443	4647	4587	5024	5.65	7.52	4.72	4.74	4.9	4.96	5.11	4.97	5.08	4.8	4.8	157	73.5	83.4	15.7	342		5.3	5.11	4.8	5.11	4.8			11	5.74		71.4	19	19	29	29	-1.08	-1.09	-0.3	-0.3	-0.2	-0.4	-0.41	-0.39	-0.96	-0.71	44	39	27.5	30.9	54.7	52.6	50	50	27.4	0.42	88.20%	88.50%	21.8	22	22	1.12%	1.20%
Korea (Dem. People’s Rep.)	PRK	25,000,000	120,408	-	-	-	-	-	-	1		0	0	0	0	2198	2192	2172			-	11.23	9.86	10.09	10.86	11.97	12.39			12.39	-			2.7	89		-				-			4.3	2.59		52.3	0	0	3	3	-0.48	-0.45	-1.7	-1.6	-2.3	-2.3	-1.71	-1.626	-1.48	-1.61	5	6.5	25.2	3.8	5.8	3	0	0	-	2.18	2.10%	7.60%	16.3	16	18	...	
Korea (Rep.)	KOR	51,000,000	96,920	35.7	24.8	39.8	0.903	0.925	-	2.6	4.02	2,164.80	2,213.40	2,194.50	2,282.80					2.91	4.02										-	2543.6	2624.5	7.6	11		5.1	4.46		4.46	-	0.92	0.01	3.7	3.53		100	33	33	51	50	0.29	0.66	1.1	1.4	1.1	1.1	1.16	1.127	0.48	0.76	63.7	77.1	49.9	69.2	73.8	74.6	70	60	32.3	11.8	73.80%	85.00%	17	17	19	2.78%	2.70%
Kosovo	-	1,900,000	10,887	23.2	-	-	-	-	-	3.3	9.13	19.3	20.2	19.2	20.9	43044	42998	45226	46918	3.41	9.13			4.33	4.33	4.46				4.46	-			45.7			-				-			-				24	25	28	31	-0.21	-0.12	-0.4	-0.2	-0.1	-0.3	-0.42	-0.275	-0.5	-0.32	59	31	45.4	37.5	66.6	60.1	30	30	27.1				-			0.94%	0.80%
Kuwait	KWT	4,200,000	17,818	-	-	33.3	0.803	0.831	65.7	0.9	-8.86	211.3	210.1	191.5	0	52291	52055	47303		2.43	-	4.4	4.77	5.85	6.37	6.39	6.49	6.55		7	2,978	1733.8	1758.7	13.7	12		-	6.39	6.55	6.39	6.55			2.4	3.71		100	13	14	23	23	-0.04	0.3	-0.2	0	-0.1	0.2	0.1	0.261	-0.33	-0.03	53.5	42	36.6	43.8	62.2	58.3	60	60	51.5	22.02		0.10%	3.1	3	2	6.69%	5.60%
Kyrgyzstan	KGZ	6,000,000	191,801	33.4	33.1	53.7	0.672	0.692	45.4	3.5	3.61	32.5	33.9	31.1	32.2	5256	5480	4985	5288	3.76	3.61	5.53	5.99	6.59	6.03	5.55	5.37			5.55	287	65.7	62.1	22	60		5.5	5.55	5.37	5.55	5.37	0.29	0.12	7.7	9.1	0.2	100	12	4	25	23	-0.43	-0.43	-0.7	-0.7	-0.4	-0.6	-0.93	-1.074	-1.05	-1.12	22.1	11.8	29.4	28.8	62.8	55.8	50	50	37.3	1.56	85.80%	92.40%	19.2	19	20	1.67%	1.50%
Laos	LAO	7,000,000	230,800	36.7	-	42.8	0.601	0.607	37.8	7	2.53	53.6	56.5	56.8	58.3	7774	8220	8238	8674	6.25	2.53	2.94			2.52	2.37	2.3	2.23		2.23	-	57.7	68.2	6	185		2.9	2.37	2.23	2.37	2.23	8.51	8.24	1.5	1.26	1.2	100	1	2	11	11	0.43	0.73	-0.4	-0.6	-0.7	-0.9	-0.88	-0.642	-0.94	-1.04	41.4	11.1	33.1	20.4	53.6	49.2	20	20	26.3	2.61	96.50%	64.40%	27.5	28	22	...	0.20%
Latvia	LVA	2,000,000	62,249	34.5	17.1	34.1	0.847	0.863	66.1	2.7	4.48	57.9	59.4	57.1	59.7	30877	31883	31425	34469	3.99	4.48	5.28	5.28	4.66	4.37	4.24				4	1,429	1101.5	1166.8		19		5.3	4.24		4.24	-	1.13	1.18	9.9	7.6	0.2	100	35	37	52	51	0.46	0.69	0.9	0.9	1.2	1.2	0.93	0.981	0.54	0.75	58.9	75.1	45.4	61.1	73.6	74.8	60	60	37	3.96	51.50%	66.60%	16	31	29	2.28%	2.00%
Lebanon	LBN	4,600,000	10,230	-	21.9	39	0.757	0.706	44.8	1	-10.52	106.7	99.4	73.6	65.9	15933	15105	11377	10691	-1.88	-10.52	2	2.1	2.12	2.13	2.52	2.59			3	1,117	695.1	663.1	58.1	29		-	2.52	2.59	2.52				6.8	14.49		100	11	13	32	29	-1.59	-1.49	-0.5	-1.3	-0.3	-0.9	-0.82	-1.074	-1	-1.23	33.6	27.4	20.2	22.8	53.2	47.3	50	50	26.9	4.08	2.80%	3.90%	3.1	5	5	...	4.20%
Lesotho	LSO	1,900,000	30,355	63.2	16.7	27.3	0.52	0.514	29.5	2.5	1.02	5.5	5.6	5.2	5.3	2677	2768	2569	2682	-1.22	1.02	7.2	9	7.76	8.16	7.29	7.99	7.67	8.7	8.7	251	124.7	124.2	7.7	544		-	7.29	8.7	7.29	8.7	6.82		27.4	24.6		47.4	27	27	37	36	-0.25	-0.22	-0.9	-0.9	-0.3	-0.7	-0.27	-0.41	-0.03	-0.32	52.7	44.1	32.9	42.8	53.9	48.1	40	40	50.4	0.36	100.00%	100.00%	22.9	22	23	1.29%	1.50%
Liberia	LBR	4,400,000	96,320	32	22.2	46	0.435	0.481	30.6	0	4	7.4	7.3	7	7.3	1581	1532	1468	1553	1.16	4	2.2	2.17	2.15	2.66	2.5	2.27	2.31	2.69	2.69	128	61.2	52.6	9.5	661		-	2.5	2.69	2.5	2.69			4	4.09		27.5	27	27	35	33	-0.41	-0.24	-1.4	-1.4	-1	-1	-0.97	-0.926	-0.69	-0.92	42.4	23.4	32	25.1	50.9	47.9	20	20	36.8	0.24		1.30%	12.3	12	11	0.95%	0.50%
Libya	LBY	6,000,000	1,759,540	-	-	42.7	0.706	0.718	-	-6.4	31.37	166.7	148	112.6	147.9	25557	22764	17286	23357	7.94	31.37										-			22	72		-				-			19.2	19.58		69.7	1	1	8	8	-2.33	-2.37	-1.8	-1.7	-2.2	-2	-1.78	-1.784	-1.59	-1.57	22.1	-	23.1	-	-	-	-	-	92.9	8.38		0.00%	16	16	16	...	15.50%
Lithuania	LTU	2,900,000	62,680	37.9	21	36.9	0.858	0.875	67.4	1.6	5	99.3	103.8	103.7	108.9	36376	38541	38881	42665	3.99	5	4.49	4.23	4	3.81	3.89				4	1,875	1249	1370	2.3	8		4.5			3.89	-	0.18	0.1	9.2	7.9	0.4	100	38	38	53	51	0.78	0.82	1	1.1	1.2	1.3	0.99	1.11	2.06	0.85	66.7	74.6	50.9	66.6	75.3	75.8	70	70	34.7	4.2	48.10%	71.30%	21.3	21	28	2.02%	2.00%
Luxembourg	LUX	600,000	2,586	30.4	13.2	31.7	0.904	0.93	83.2	4.5	6.89	69.9	72.2	71	75.8	116966	117342	117846	134754	2	6.89	3.86	3.77		3.49	3.65				4	6,382	6227.1	6220.7	3.4	5		4	3.89		3.65	-	1	0.62	5.9	5.23	0.1	100	38	38	60	59	1.34	1.21	1.7	1.7	1.7	1.9	1.74	1.787	1.99	1.87	77.9	96.4	79	89.5	76.4	80.6	80	80	41.4	15.31			28.3	20	35	0.63%	0.60%
Macedonia	MKD	2,100,000	25,433	33.7	23.4	43.9	-	-	52.5	3.7	3.96	33.5	34.8	32.7	34	16796	17546	16720	17918	2.88	3.96	2.05	3	3.1	2.71	2.73	3.06	6.3		6.3	857	399.1	436.9				-	3.65			-	3	3.53	26.7	16.2	1.2	100	21	28	37	39	-0.25	0.12	0.1	-0.1	0.5	0.4	-0.24	-0.076	-0.31	-0.35	57	50.2	47.4	38.7	71.3	65.7	60	60	31.5	4	32.70%	28.60%	34.2			1.54%	1.20%
